# target               , alias                         , type                          , RA        , Dec       
PCCS2 143 G073.45+41.87, 4C 47.44                      , Quasar                        ,   249.4400,   +47.3032
PCCS2 143 G075.66-29.63, QSO B2201+1711                , BL Lac - type object          ,   330.8573,   +17.4292
PCCS2 143 G077.22+23.48, ICRF J182931.7+484446         , Seyfert 1 Galaxy              ,   277.4031,   +48.7387
PCCS2 143 G077.42-38.59, CTA102                        , Quasar                        ,   338.1500,   +11.7195
PCCS2 143 G083.16-30.08, QSO J2225+2118                , Quasar                        ,   336.4114,   +21.3098
PCCS2 143 G085.67+83.35, QSO B1308+326 = 7C 1308+3236  , Blazar                        ,   197.6133,   +32.3352
PCCS2 143 G085.73+26.08, 4C 56.27                      , BL Lac - type object          ,   276.0127,   +56.8478
PCCS2 143 G085.95-18.78, 4C 31.63                      , BL Lac - type object          ,   330.8170,   +31.7601
PCCS2 143 G086.11-38.19, 3C 454.3                      , Quasar                        ,   343.4952,   +16.1430
PCCS2 143 G090.10-25.64, QSO B2232+282                 , BL Lac - type object          ,   339.0849,   +28.4771
PCCS2 143 G092.58-10.44, BL Lac                        , BL Lac - type object          ,   330.6796,   +42.2787
PCCS2 143 G093.48-66.64, QSO B0003-066                 , BL Lac - type object          ,     1.5503,    -6.3925
PCCS2 143 G097.47+25.03, ICRF J184916.0+670541         , Seyfert 1 Galaxy              ,   282.3254,   +67.0827
PCCS2 143 G100.13+29.17, 3C 371                        , Radio Galaxy                  ,   271.6926,   +69.8260
PCCS2 143 G100.68+36.61, 4C 69.21                      , Quasar                        ,   250.5605,   +68.9335
PCCS2 143 G105.62+23.54, ICRF J192748.4+735801         , Seyfert 1 Galaxy              ,   291.9192,   +73.9662
PCCS2 143 G106.95-50.62, Mrk 1501                      , Seyfert 1 Galaxy              ,     2.6128,   +10.9740
PCCS2 143 G110.03+29.07, QSO B1803+784 = 8C 1803+784   , BL Lac - type object          ,   270.1439,   +78.4618
PCCS2 143 G130.79-14.31, QSO B0133+476                 , Quasar                        ,    24.2615,   +47.8593
PCCS2 143 G131.81-60.99, 4C 01.02                      , Quasar                        ,    17.1542,    +1.5808
PCCS2 143 G143.53+34.42, QSO B0836+710 = 4C 71.07      , Quasar                        ,   130.3560,   +70.9026
PCCS2 143 G143.97+28.02, QSO B0716+714 = 8C 0716+714   , BL Lac - type object          ,   110.4972,   +71.3507
PCCS2 143 G144.62-73.42, QSO B0113-1152                , Quasar                        ,    19.0397,   -11.6003
PCCS2 143 G144.97-09.85, 4C 47.08                      , BL Lac - type object          ,    45.8855,   +47.2855
PCCS2 143 G145.57+64.99, 4C 49.22                      , Quasar                        ,   178.3439,   +49.5075
PCCS2 143 G145.73+43.13, QSO B0954+658 = 6C 095456+654857, BL Lac - type object          ,   149.7224,   +65.5684
PCCS2 143 G149.46-28.52, QSO B0234+285 = 4C 28.07      , Quasar                        ,    39.4707,   +28.8008
PCCS2 143 G149.56-14.10, ICRF J031301.9+412001         , Seyfert 1 Galaxy              ,    48.2426,   +41.3292
PCCS2 143 G150.56-13.25, 3C 84                         , Radio Galaxy                  ,    49.9454,   +41.5246
PCCS2 143 G152.56-47.35, ICRF J021113.1+105134         , BL Lac - type object          ,    32.7990,   +10.8749
PCCS2 143 G156.77-39.10, QSO B0235+1624 = QSO B0235+164, BL Lac - type object          ,    39.6672,   +16.6182
PCCS2 143 G159.70-49.11, 4C 06.11                      , Quasar                        ,    36.1128,    +6.9988
PCCS2 143 G162.12-54.41, QSO J0217+0144                , Quasar                        ,    34.4467,    +1.7533
PCCS2 143 G162.15+08.22, 6C 052928+482031              , Quasar                        ,    83.3070,   +48.3836
PCCS2 143 G168.07-19.15, LDN 1489                      , Dark Cloud (nebula)           ,    61.1940,   +26.3196
PCCS2 143 G168.10-76.03, QSO B0130-17                  , Quasar                        ,    23.1652,   -16.9256
PCCS2 143 G169.15-39.71, QSO B0306+101                 , Quasar                        ,    47.2571,   +10.5044
PCCS2 143 G171.08+17.94, QSO J0646+4451 = 7C 064253.00+445430.00, Quasar                        ,   101.6270,   +44.8604
PCCS2 143 G174.12-54.30, QSO B0237-027                 , Quasar                        ,    39.9347,    -2.5683
PCCS2 143 G175.67+44.82, QSO B0917+449 = 6C 091740+445437, Quasar                        ,   140.2595,   +44.7133
